A,B
date,open
19mar2021,30.01986
22mar2021,30.59436
23mar2021,30.20487
24mar2021,29.32852
25mar2021,29.85433
26mar2021,31.18833
29mar2021,30.50673
30mar2021,32.21074
31mar2021,31.87967
01apr2021,32.23995
02apr2021,32.6197
06apr2021,33.23315
07apr2021,32.13284
08apr2021,31.91862
09apr2021,31.34412
12apr2021,30.26329
13apr2021,30.14645
14apr2021,31.06175
15apr2021,31.43176
16apr2021,30.83779
19apr2021,32.60023
20apr2021,33.1163
21apr2021,33.05788
22apr2021,33.29157
23apr2021,34.46978
26apr2021,33.58369
27apr2021,33.30131
28apr2021,33.48631
29apr2021,33.17472
30apr2021,34.30424
06may2021,35.60903
07may2021,35.05401
10may2021,37.56622
11may2021,37.40068
12may2021,37.69279
13may2021,36.60223
14may2021,36.41722
17may2021,38.58862
18may2021,38.44256
19may2021,39.71814
20may2021,38.64704
21may2021,38.49828
24may2021,39.52686
25may2021,39.16441
26may2021,38.06726
27may2021,37.65582
28may2021,37.58725
31may2021,39.31135
01jun2021,38.73339
02jun2021,37.62644
03jun2021,35.24601
04jun2021,34.95213
07jun2021,34.286
08jun2021,34.02151
09jun2021,33.7962
10jun2021,34.87376
11jun2021,35.5105
15jun2021,35.0207
16jun2021,32.87538
17jun2021,33.77661
18jun2021,34.09008
21jun2021,34.80519
22jun2021,34.7758
23jun2021,35.16764
24jun2021,38.64522
25jun2021,38.30236
28jun2021,40.56524
29jun2021,42.3677
30jun2021,42.38729
01jul2021,42.31872
02jul2021,41.11382
05jul2021,41.73096
06jul2021,39.75217
07jul2021,41.43708
08jul2021,40.19299
09jul2021,40.62401
12jul2021,39.92849
13jul2021,41.70157
14jul2021,39.39951
15jul2021,39.60523
16jul2021,37.91052
19jul2021,38.68441
20jul2021,38.88032
21jul2021,42.76934
22jul2021,43.48444
23jul2021,42.65179
26jul2021,42.14239
27jul2021,41.19218
28jul2021,40.49667
29jul2021,42.90648
30jul2021,42.33831
02aug2021,44.92446
03aug2021,44.8167
04aug2021,49.30327
05aug2021,50.22409
06aug2021,49.65592
09aug2021,48.50979
10aug2021,48.29428
11aug2021,46.21753
12aug2021,46.71712
13aug2021,45.15956
16aug2021,46.0412
17aug2021,46.99141
18aug2021,46.48202
19aug2021,48.01999
20aug2021,47.96122
23aug2021,49.40123
24aug2021,49.66572
25aug2021,53.52534
26aug2021,53.08452
27aug2021,56.19965
30aug2021,59.25601
31aug2021,59.7556
01sep2021,55.20046
02sep2021,60.63724
03sep2021,57.35558
06sep2021,54.51474
07sep2021,56.01353
08sep2021,53.99555
09sep2021,55.74903
10sep2021,57.45354
13sep2021,54.32862
14sep2021,50.90981
15sep2021,51.9286
16sep2021,48.4902
17sep2021,48.41183
22sep2021,48.09836
23sep2021,48.19632
24sep2021,49.81266
27sep2021,49.12694
28sep2021,48.45102
29sep2021,49.2347
30sep2021,49.90082
08oct2021,49.43061
11oct2021,50.45919
12oct2021,51.65431
13oct2021,53.78004
14oct2021,53.26085
15oct2021,54.75964
18oct2021,54.67148
19oct2021,52.79065
20oct2021,53.43718
21oct2021,52.82983
22oct2021,53.50575
25oct2021,55.8372
26oct2021,54.97515
27oct2021,55.39638
28oct2021,54.30902
29oct2021,56.06251
01nov2021,53.878
02nov2021,50.27307
03nov2021,50.42001
04nov2021,51.62492
05nov2021,49.02898
08nov2021,49.37184
09nov2021,49.45021
10nov2021,47.70652
11nov2021,47.90244
12nov2021,48.47061
15nov2021,47.34407
16nov2021,47.64774
17nov2021,49.17592
18nov2021,48.40203
19nov2021,47.93183
22nov2021,48.21592
23nov2021,47.39305
24nov2021,45.43385
25nov2021,44.082
26nov2021,44.01343
29nov2021,43.38649
30nov2021,44.00363
01dec2021,44.72853
02dec2021,44.72853
03dec2021,43.07301
06dec2021,43.63139
07dec2021,44.06241
08dec2021,45.50242
09dec2021,45.61018
10dec2021,47.44203
13dec2021,47.2657
14dec2021,45.7963
15dec2021,46.30569
16dec2021,46.23712
17dec2021,44.18976
20dec2021,43.24934
21dec2021,43.84689
22dec2021,43.64118
23dec2021,43.16118
24dec2021,40.42809
27dec2021,39.52686
28dec2021,40.42809
29dec2021,41.34892
30dec2021,41.24116
31dec2021,44.04282
04jan2022,41.65259
05jan2022,40.87871
06jan2022,41.04524
07jan2022,41.24116
10jan2022,41.03544
11jan2022,39.96768
12jan2022,41.6428
13jan2022,40.25177
14jan2022,40.57503
17jan2022,40.69258
18jan2022,40.43789
19jan2022,39.68359
20jan2022,39.184
21jan2022,39.12522
24jan2022,40.00687
25jan2022,38.05746
26jan2022,39.23298
27jan2022,37.90072
28jan2022,36.58806
07feb2022,39.03706
08feb2022,37.9595
09feb2022,38.2044
10feb2022,37.79297
11feb2022,37.12684
14feb2022,36.68602
15feb2022,37.85175
16feb2022,37.62644
17feb2022,38.84114
18feb2022,38.26318
21feb2022,38.76277
22feb2022,40.95708
23feb2022,42.09341
24feb2022,41.26075
25feb2022,41.23137
28feb2022,42.02484
01mar2022,42.46566
02mar2022,43.12199
03mar2022,42.32851
04mar2022,41.84851
07mar2022,41.3881
08mar2022,41.91708
09mar2022,42.46566
10mar2022,43.94486
11mar2022,44.62078
14mar2022,43.12199
15mar2022,43.07301
16mar2022,44.66976
17mar2022,43.75873
18mar2022,43.39628
21mar2022,43.86649
22mar2022,43.78812
23mar2022,43.16118
24mar2022,41.49586
25mar2022,40.44769
28mar2022,42.31872
29mar2022,42.71056
30mar2022,43.77832
31mar2022,41.81912
01apr2022,42.43627
06apr2022,40.55544
07apr2022,40.48687
08apr2022,40.03625
11apr2022,38.30236
12apr2022,38.84114
13apr2022,38.49828
14apr2022,38.53746
15apr2022,38.68441
18apr2022,39.47788
19apr2022,39.13502
20apr2022,38.38073
21apr2022,36.67622
22apr2022,36.07867
25apr2022,34.45253
26apr2022,35.78479
27apr2022,39.00767
28apr2022,38.89012
29apr2022,40.26156
05may2022,39.88931
06may2022,38.77257
09may2022,38.71379
10may2022,39.20359
11may2022,39.85013
12may2022,39.43869
13may2022,39.52686
16may2022,38.90971
17may2022,41.24116
18may2022,41.06483
19may2022,44.49343
20may2022,45.0616
23may2022,44.8167
24may2022,44.04282
25may2022,44.24853
26may2022,44.0722
27may2022,43.75873
30may2022,43.78
31may2022,45.19
01jun2022,45.02
02jun2022,47.37
06jun2022,49.16
07jun2022,50.05
08jun2022,50.56
09jun2022,50.83
10jun2022,53.53
13jun2022,53.58
14jun2022,53.6
15jun2022,52.49
16jun2022,53.63
17jun2022,54.5
20jun2022,54.25
21jun2022,53.26
22jun2022,54.65
23jun2022,55.18
24jun2022,57.96
27jun2022,57.55
28jun2022,59.02
29jun2022,56.93
30jun2022,59.86
01jul2022,59.66
04jul2022,65.63
05jul2022,67.75
06jul2022,65.38
07jul2022,64.8
08jul2022,63.73
11jul2022,60.3
12jul2022,60.12
13jul2022,59.87
14jul2022,60.06
15jul2022,59.7
18jul2022,58.69
19jul2022,57.86
20jul2022,57.33
21jul2022,55.63
22jul2022,56.11
25jul2022,53.82
26jul2022,54.36
27jul2022,55.42
28jul2022,54.09
29jul2022,53.81
01aug2022,53.49
02aug2022,51.08
03aug2022,49.69
04aug2022,50.32
05aug2022,50.83
08aug2022,50.59
09aug2022,52.2
10aug2022,51.35
11aug2022,52.06
12aug2022,51.12
15aug2022,53.31
16aug2022,53.56
17aug2022,54.8
18aug2022,57.17
19aug2022,59.96
22aug2022,61.18
23aug2022,59.05
24aug2022,58.43
25aug2022,57.48
26aug2022,56.43
29aug2022,56.78
30aug2022,55.56
31aug2022,52.88
01sep2022,52.82
02sep2022,52.21
05sep2022,52.45
06sep2022,56.87
07sep2022,56.69
08sep2022,56.5
09sep2022,54.56
13sep2022,54.99
14sep2022,53.73
15sep2022,51.3
16sep2022,49.52
19sep2022,49.87
20sep2022,50.3
21sep2022,50.09
22sep2022,49.12
23sep2022,49.3
26sep2022,48.68
27sep2022,49.32
28sep2022,46.9
29sep2022,47.98
30sep2022,46.96
10oct2022,46.56
11oct2022,47.44
12oct2022,48.36
13oct2022,47.5
14oct2022,50.35
17oct2022,49.76
18oct2022,49.51
19oct2022,48.93
20oct2022,47.25
21oct2022,47.01
24oct2022,45.82
