code,date,open,high,low,close,quote volume,volume
600760,2020/1/2,22.4241,22.7126,22.1919,22.3748,"8,138,775","259,471,132"
600760,2020/1/3,22.4311,23.177,22.2623,23.0503,"16,751,728","543,653,168"
600760,2020/1/6,23.5217,24.0635,23.1981,23.3247,"17,125,229","572,508,496"
600760,2020/1/7,23.2332,23.6062,22.9377,23.3388,"8,738,074","290,171,120"
600760,2020/1/8,23.9369,24.0424,23.1699,23.5851,"15,494,704","521,662,368"
600760,2020/1/9,22.9377,23.0081,22.593,22.797,"10,090,357","327,110,464"
600760,2020/1/10,22.7266,22.9237,22.1638,22.4945,"12,117,895","387,043,568"
600760,2020/1/13,22.7266,22.7266,22.2482,22.4593,"5,772,752","183,675,848"
600760,2020/1/14,22.4593,22.6141,22.023,22.0653,"8,325,283","263,459,006"
600760,2020/1/15,22.0512,22.1075,21.5516,21.6712,"9,487,001","293,110,784"
600760,2020/1/16,21.7275,22.0301,21.4742,21.5164,"9,030,288","278,726,480"
600760,2020/1/17,21.5305,21.7275,21.3476,21.6079,"6,717,747","206,071,177"
600760,2020/1/20,21.5938,22.023,21.5305,21.8753,"7,497,165","232,202,943"
600760,2020/1/21,21.8823,21.8823,21.0239,21.1365,"12,703,562","384,503,584"
600760,2020/1/22,21.1083,21.1646,20.6369,21.038,"7,141,440","212,040,410"
600760,2020/1/23,20.7565,21.2491,20.264,20.4047,"9,004,640","264,443,576"
600760,2020/2/3,18.3643,18.512,18.3643,18.3643,"10,939,545","285,728,368"
600760,2020/2/4,17.5903,18.7583,17.5903,18.6598,"14,098,231","369,324,944"
600760,2020/2/5,18.6527,19.5041,18.6176,18.8146,"13,573,861","366,785,648"
600760,2020/2/6,18.892,19.293,18.6527,19.1804,"11,456,514","310,263,648"
600760,2020/2/7,19.1734,19.3141,18.9131,19.279,"11,485,942","311,504,272"
600760,2020/2/10,19.2086,19.5674,19.103,19.5604,"11,328,253","310,718,592"
600760,2020/2/11,19.6308,19.6659,19.2438,19.2578,"10,676,772","293,870,944"
600760,2020/2/12,19.2578,19.2649,18.9975,19.2227,"12,243,611","332,914,464"
600760,2020/2/13,19.3141,19.4197,18.8709,18.9271,"13,996,248","380,130,112"
600760,2020/2/14,18.906,19.096,18.7935,18.9553,"10,093,229","271,730,672"
600760,2020/2/17,19.1382,20.8128,19.1382,20.7354,"28,683,395","817,908,784"
600760,2020/2/18,20.9676,21.0732,20.0529,20.2781,"26,491,341","770,383,648"
600760,2020/2/19,20.0177,20.6721,19.7715,20.1655,"20,227,318","582,278,176"
